TAC,P(B2019<B2018),P(F2018>F2017),P(B2019<0.8BMSY),P(B2019<0.4BMSY),P(F2018>FMSY),P(B2019<Bmin),P(B2019<BAvg),P(F2018>FAvg)
0,0.301,0,0,0,0,0.81,0.996,0
100,0.33,0,0,0,0,0.815,0.996,0
200,0.363,0,0,0,0,0.821,0.996,0
300,0.389,0.03,0,0,0,0.827,0.996,0
400,0.421,0.882,0,0,0,0.834,0.996,0
500,0.454,0.979,0,0,0,0.839,0.996,0
600,0.485,0.994,0,0,0,0.845,0.996,0
700,0.513,0.999,0,0,0,0.85,0.996,0
800,0.548,1,0,0,0,0.857,0.996,0
900,0.575,1,0,0,0,0.86,0.996,0
1000,0.609,1,0,0,0.003,0.863,0.996,0
1100,0.637,1,0,0,0.005,0.866,0.996,0
1200,0.656,1,0,0,0.01,0.874,0.996,0.003
1300,0.683,1,0,0,0.012,0.879,0.996,0.014
1400,0.695,1,0,0,0.016,0.884,0.997,0.042
1500,0.715,1,0,0,0.021,0.89,0.997,0.102
1600,0.727,1,0,0,0.028,0.896,0.997,0.19
1700,0.74,1,0,0,0.042,0.899,0.997,0.3
1800,0.754,1,0,0,0.051,0.903,0.998,0.421
1900,0.769,1,0,0,0.064,0.905,0.999,0.567
2000,0.783,1,0.002,0,0.074,0.908,1,0.697
2100,0.798,1,0.003,0,0.09,0.909,1,0.79
2200,0.81,1,0.003,0,0.105,0.91,1,0.855
2300,0.82,1,0.004,0,0.122,0.913,1,0.903
2400,0.835,1,0.004,0,0.149,0.917,1,0.933
2500,0.847,1,0.005,0,0.179,0.917,1,0.954
2600,0.852,1,0.006,0,0.205,0.921,1,0.965
2700,0.857,1,0.008,0,0.242,0.924,1,0.977
2800,0.865,1,0.008,0,0.274,0.925,1,0.983
2900,0.872,1,0.008,0,0.316,0.93,1,0.987
3000,0.878,1,0.01,0,0.351,0.934,1,0.989
